ilot;libelle_ilot;type_ilot;optim;type_bandeau
FEC;BL/ICR Escot curatif;FT;0;CE
P81; SCOTF7 POI TARN;ETL;0;CE
TFN; SCOTF7 TREIN FTH Zone Nord;ETL;0;CE
HSS;Stock PROD E - Crise Noire SIP;ETL;0;C
OTS;Ilot Reception OPO Opit TL;FT;0;CE
IL5;ui tampon pour TER E TlsN/S;ETL;0;C
FED;BL/ ICR Escot curatif 2;FT;0;CE
P82; SCOTF7 POI TARN ET GARONNE;ETL;0;CE
FDN;Fibre Debord SCOTF7 TLS N;ETL;0;CE
GAP;Etudes MAPPLE Orange 65+09+31S;FT;0;CE
P12; SCOTF7 POI AVEYRON;ETL;0;CE
GAQ;Etudes MAPPLE Orange 46+82+32;FT;0;CE
MV4;ui nationale pour mascot v4;ETL;0;CE
NPS; SADTF7 OT BL ac releve PRO;ETL;0;CE
RLN;HE/ SCOTF7 RE HABITE - LAN;RE;0;C
AU7;RS/r‚o MILLAU_RODEZ;FT;0;R
B3S;BL/ SADTF7 TOULOUSE SUD;ETL;0;CE
B65;BL/ SADTF7 HTES PYRENEES;ETL;0;CE
DM1;TEST;ETL;0;C
PSC;UI STOCKAGE DES POI-PR CHAFF;ETL;0;CE
RLO;HO/ RE HABITE FT - LOU/BAG;RE;0;C
SIP;UI filtrage regle #SIP#;FT;0;C
QR0; ORANGE UI QUARANTAINE R02TEL;RE;0;C
AU8;RS/miroir MILLAU_RODEZ;FT;0;R
NRA;ui tampon nra prod avant mes;ETL;0;CE
REO;Ilot de filtrage des REO;FT;0;C
AU9;RS/exploitation MILLAU_RODEZ;FT;0;R
DCO;BL/ILOT des DI sur DERCO;FT;0;C
FDS;Fibre Debord SADTF7 TLS S;ETL;0;CE
GAT;Etudes MAPPLE Orange TLS N/S;FT;0;CE
TFS; SADTF7 TREIN FTH Zone Sud;ETL;0;CE
ARX;PABX RODEZ;FT;1;CE
O46;Ilot Reception OPO Opit 46;ETL;0;CE
GPM;MOBILIER PUB AVIP SO;SE;0;
RLR;HE/ SADTF7 RE HABITE - LAR;RE;0;C
SIS;Filtrage des #SIS#;FT;0;C
GQC;QRL afaire Comminges;ETL;0;CE
R31;ui jrt 31 sud;FT;1;CE
RMI;HE/ SADTF7 RE HABITE - MIN;RE;0;C
RST;RS/reseau structurant toulouse;FT;0;R
LR7;RS/r‚o CAHORS;FT;0;R
Q3N;STOCKAGE DES QRL DE TOULOUSE NORD;ETL;0;CE
FTD;PROD FTTH ETR ANNEXE;FT;0;C
LR8;RS/miroir CAHORS;FT;0;R
R32;r02 du gers;FT;1;CE
TOC;new ui oceane adsl filtre;FT;0;CE
F8A;PROD ET SAV FTTH ALBI;FT;0;CE
GQF;QRL a faire Foix;ETL;0;CE
LQC;LOT QRL AQC /CA;ETL;0;CE
LR9;RS/exploitation CAHORS;FT;0;R
V3N; SCOTF7 R10 TOULOUSE + 31 NORD;ETL;0;C
FLO;Fibre PROD Lourdes;ETL;0;CE
FSP;BL/ui ICR PREV. BL fir scop ;FT;0;CE
GQG;QRL a faire Gers;ETL;0;CE
RGA;HE/ SADTF7 RE habite - GAR;RE;0;C
GQH;QRL a faire Htes Pyr;ETL;0;CE
QAT;BL/UI BL transit QRL CAGD;ETL;0;CE
F8C;production et sav ftth tarn;FT;0;C
Q65;STOCKAGE DES QRL DES HTES PYRENEES;ETL;0;CE
FEP;BL/ICR Escot pr‚ventif;FT;0;CE
RUE;Rendez-vous Unique Entreprise;RE;0;C
DCW;Atte DI weekend pour DERCO;FT;0;C
BYC;CHABLIS/DOLMEN;RE;0;C
Q3S;STOCKAGE DES QRL DE TOULOUSE SUD;ETL;0;CE
Y46; SCOTF7 SAV LOT;ETL;0;CE
ANA;Valid‚s Analystes;ETL;0;R
F30; SCOTF7 Fibre Renfort 30 jours;ETL;0;CE
S09;ntic ariege;FT;0;CE
FMI;Fibre PROD Millau;ETL;0;CE
DEF;3UI de Releve DEF automatique;FT;0;CE
F32;Fibre PROD 32 - Gers;FT;0;CE
