ATTR1;DUREE;COMPETENCE
2BC422;0200;GPBL
2BC424;0200;GPBL
2BC429;0200;GPBL
2BC432;0200;GPBL
2BC434;0200;GPBL
2BC435;0200;GPBL
2BC436;0200;GPBL
2BC442;0200;GPBL
2BC443;0200;GPBL
2BC444;0200;GPBL
2BC446;0200;GPBL
2BC447;0200;GPBL
2BC448;0200;GPBL
2BC449;0200;GPBL
2BC450;0200;GPBL
2BC452;0200;GPBL
2BC453;0200;GPBL
2BC454;0200;GPBL
2BC456;0200;GPBL
2BC458;0200;GPBL
2BC459;0200;GPBL
2BC461;0200;GPBL
2BC462;0200;GPBL
2BC465;0200;GPBL
2BC466;0200;GPBL
2BC468;0200;GPBL
2BC469;0200;GPBL
2BC471;0200;GPBL
2BC474;0200;GPBL
2BC475;0200;GPBL
2BC478;0200;GPBL
2BC490;0200;GPBL
2BC493;0200;GPBL
2BC496;0200;GPBL
2BC497;0200;GPBL
2BC505;0200;GPBL
2BC507;0200;GPBL
2BC523;0200;GPBL
2BC550;0200;GPBL
2BC601;0200;GPBL
2BC602;0200;GPBL
2BC603;0200;GPBL
2BC604;0200;GPBL
2BC605;0200;GPBL
2BC606;0200;GPBL
2BC607;0200;GPBL
2BC608;0200;GPBL
2BC609;0200;GPBL
2BC610;0200;GPBL
2BC611;0200;GPBL
2BC612;0200;GPBL
2BC613;0200;GPBL
2BC614;0200;GPBL
2BC615;0200;GPBL
2BC616;0200;GPBL
2BC617;0200;GPBL
2BC618;0200;GPBL
2BC619;0200;GPBL
2BC620;0200;GPBL
2BC621;0200;GPBL
2BC622;0200;GPBL
2BC624;0200;GPBL
2BC625;0200;GPBL
2BC641;0200;GPBL
2BC644;0200;GPBL
2BC645;0200;GPBL
2BC646;0200;GPBL
2BC664;0200;GPBL
2BC665;0200;GPBL
2BC666;0200;GPBL
2BC670;0200;GPBL
2BC671;0200;GPBL
2BC672;0200;GPBL
2BC673;0200;GPBL
2BC674;0200;GPBL
2BC675;0200;GPBL
2BC688;0200;GPBL
2BC689;0200;GPBL
2BC690;0200;GPBL
2BC703;0200;GPBL
2BC704;0200;GPBL
2BC705;0200;GPBL
2BC706;0200;GPBL
2BC707;0200;GPBL
2BC708;0200;GPBL
2BC709;0200;GPBL
2BC710;0200;GPBL
2BC711;0200;GPBL
2BC712;0200;GPBL
2BC713;0200;GPBL
2BC714;0200;GPBL
2BC715;0200;GPBL
2BC717;0200;GPBL
2BC800;0200;GPBL
2BC803;0200;GPBL
2BC806;0200;GPBL
2BC811;0200;GPBL
2BC812;0200;GPBL
2BC813;0200;GPBL
2BC827;0200;GPBL
2BC828;0200;GPBL
2BC832;0200;GPBL
2BC833;0200;GPBL
2BC835;0200;GPBL
2BC839;0200;GPBL
2BC840;0200;GPBL
2BC842;0200;GPBL
2BC843;0200;GPBL
2BC844;0200;GPBL
2BC846;0200;GPBL
2BC848;0200;GPBL
2BC853;0200;GPBL
2BC854;0200;GPBL
2BC855;0200;GPBL
2BC856;0200;GPBL
2BC858;0200;GPBL
2BC863;0200;GPBL
2BC864;0200;GPBL
2BC865;0200;GPBL
2BC867;0200;GPBL
2BC868;0200;GPBL
2BC869;0200;GPBL
2BC870;0200;GPBL
2BC871;0200;GPBL
2BC872;0200;GPBL
