iloCodeIlot;iloLibelleIlot;iloOptim;iloCodeEtablissement;iloCodeBase;iloInfo;iloInfoAdmin;iloDateCreation;iloDateModif;iloDateSuppression;used;sedIdServDem;prsIdProdSav;dacIdDomAct;coIdCompetence;siIdSite;enIdEntreprise;fiIdFiltrage;tiIdTypeIot;banIdBandeau
FIL;CA GD/Filtrage Superviseur;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;;GD;;;;;FT;CE
FIR;UI expertise pole QS;0;TF7;T1;îlot géré par thierry Jeansout;;;22/03/2016;;Oui;;;;;;;;FT;CE
FLC;ICR CURATIF BL CONSTRUCTEL;0;TF7;T1;ICR / / / FIR Boucle Locale;;;22/03/2016;;Oui;CA BL;SAV;BL;;;;;FT;CE
FLO;Fibre PROD Lourdes;0;TF7;T1;;;;22/03/2016;;;;;;;;;;ETL;CE
FLT;UI FIR SCOPELEC LT;0;TF7;T1;FIR Ligne Terminal;;;22/03/2016;;Oui;CA GD;;;UI FIR / ICR;;;;FT;CE
FMI;Fibre PROD Millau;0;TF7;T1;;;;22/03/2016;;;;;;;;;;ETL;CE
FMU;Fibre PROD Muret;0;TF7;T1;;;;22/03/2016;;;;;;;;;;ETL;CE
FNG;COMMANDES EN ATTENTE D OT PR FTH;0;TF7;T1;Le pilotage de production FTTH, place des prod qui peuvent être en attente d'OT, ou en attente de confirmation client, les rdv peuvent exploser, parfois dépasser les 100 jours. Pour le Génie Civil, des CLG (fibre), ils sont créés par le pilotage de production, affecté sur l'îlot FTP pour Scopelec( il n'y a que lui qui fait du GC Fibre sur midi py) et actuellement (20/05/2015) il se l'affecte, mais il ne se passe rien d'autre, F3N et F3S, chaque entreprise faisant sont GC Fibre (26/06/2015); ça re passe en UC, et apres le pilotage de prod ftth le passe sur l'ilot FNG. LEs CLG dans FNG sont soit;;;22/03/2016;;Oui;PPC Fibre;;;;;;;FT;C 
FOR;UI pour migrations sfr c3p;0;TF7;T1;îlot de reception des migrations SFR;;;22/03/2016;;Oui;C3P;;;;;;;FT;C 
FRG;FILTRAGE DES REO;0;TF7;T1;;;;22/03/2016;;;;;;;;;;FT;C 
FSC;UI ICR CURATIF BL FIR SCOPELEC;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;;BL;;;;;FT;CE
FSP;BL/ui ICR PREV. BL fir scop;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;;BL;;;;;FT;CE
FTD;PROD FTTH ETR ANNEXE;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;;GD;FTTH;;;;FT;C 
FTM;FTTH FT;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;;GD;FTTH;;;;FT;CE
FTR;ui d attente pour ftth;0;TF7;T1;;;;22/03/2016;;?;;;;FTTH;;;;FT;CE
GAA;Etudes MAPPLE Orange 12 + 81;0;TF7;T1;Projet MAPPLE - En attente, Aiguillage des études ETUxxx pour les CHAFF Orange;Etudes Chaff;;22/03/2016;;Non;CHAFF;;;;;;;FT;CE
GAM;UI garage pour Commandes Muntiples;0;TF7;T1;;;;22/03/2016;;;;;;;;;;ETL;CE
GAP;Etudes MAPPLE Orange 65+09+31S;0;TF7;T1;Projet MAPPLE - En attente, Aiguillage des études ETUxxx pour les CHAFF Orange;Etudes Chaff;;22/03/2016;;Non;CHAFF;;;;;;;FT;CE
GAQ;Etudes MAPPLE Orange 46+82+32;0;TF7;T1;Projet MAPPLE - En attente, Aiguillage des études ETUxxx pour les CHAFF Orange;Etudes Chaff;;22/03/2016;;Non;CHAFF;;;;;;;FT;CE
GAT;Etudes MAPPLE Orange TLS N/S;0;TF7;T1;Projet MAPPLE - En attente, Aiguillage des études ETUxxx pour les CHAFF Orange;Etudes Chaff;;22/03/2016;;Non;CHAFF;;;;;;;FT;CE
GBX;PABX AUCH TARBES;0;TF7;T1;Activité Pabx dpt 65 et 32;;;22/03/2016;;Oui;CACER;PROD / SAV;E;PABX;;Orange;;FT;CE
GC8;RS/miroir ST-GAUDENS;0;TF7;T1;ilot de stockage lié à GC9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
GC9;RS/exploitation ST-GAUDENS;0;TF7;T1;Activité RS dpt 31s;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
GNO;SAV 24/24;0;TF7;T1;;;;22/03/2016;;?;;;;UI de type SE (Boite au lettre);;;;SE;  
GPM;MOBILIER PUB AVIP SO;0;TF7;T1;;;;22/03/2016;;?;;;;UI de type SE (Boite au lettre);;;;SE;  
GPX;PABX GARONNE ARIEGE;0;TF7;T1;Activité Pabx dpt 09 et 31s;;;22/03/2016;;Oui;CACER;PROD / SAV;E;PABX;;Orange;;FT;CE
GQC;QRL afaire Comminges;0;TF7;T1;;d'après Jacques Sabatier, UI GD pour suivis Jarretiere;;22/03/2016;;?;;;;;;;;ETL;CE
GQF;QRL a faire Foix;0;TF7;T1;;d'après Jacques Sabatier, UI GD pour suivis Jarretiere;;22/03/2016;;?;;;;;;;;ETL;CE
GQG;QRL a faire Gers;0;TF7;T1;;d'après Jacques Sabatier, UI GD pour suivis Jarretiere;;22/03/2016;;?;;;;;;;;ETL;CE
GQH;QRL a faire Htes Pyr;0;TF7;T1;;d'après Jacques Sabatier, UI GD pour suivis Jarretiere;;22/03/2016;;?;;;;;;;;ETL;CE
GQP;QRL a faire Pamiers;0;TF7;T1;;d'après Jacques Sabatier, UI GD pour suivis Jarretiere;;22/03/2016;;?;;;;;;;;ETL;CE
GRG;ILOT DE GARAGE;0;TF7;T1;UI pr le VSL (sans coupure);automate pour ocapi;;22/03/2016;;;UI Nat;;;;;;;RE;C 
GSP;ASP;0;TF7;T1;;;;22/03/2016;;?;;;;UI de type SE (Boite au lettre);;;;SE;  
GT9;RS/exploitation COMMUT_TLSE;0;TF7;T1;Activité Commutation Toulouse;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
GTC;REPONSE AUX AS URR;0;TF7;T1;;;;22/03/2016;;;;;;;;;;FT;CE
HNO;ui hno flux opus gpc (CACER);0;TF7;T1;Ilots de transit entre GSR et CACER;;;22/03/2016;;;CACER et GSR;;;;;;;ETL;CE
HPX;PABX tarn et garonne;1;TF7;T1;Activité Pabx dpt 82;;;22/03/2016;;Oui;CACER;PROD / SAV;E;PABX;;Orange;;FT;CE
HQC;T et Gar QRL AQC CA;0;TF7;T1;;;;22/03/2016;;?;;;;;;;;ETL;CE
HR8;RS/miroir MONTAUBAN;0;TF7;T1;ilot de stockage lié à HR9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
HR9;RS/exploitation MONTAUBAN;0;TF7;T1;activité RS dpt 82;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
IL1;ui tampon pour dring3;0;TF7;T1;Prise de rendez-vous à environ 2h  pour le P + E;;;22/03/2016;;Oui;CA GD;SAV;GD;DRING;;;;ETL;C 
IL2;UI TAMPON SERV UNIV MARCHE R;0;TF7;T1;Prise de rendez-vous le lendemain pour le Service Universel;;;22/03/2016;;Oui;CA GD;SAV;GD;DRING;;;;ETL;C 
IL3;UI Tampon SAV+ PCG/PFG MiPy;0;TF7;T1;Prise de rendez-vous SAV+ PFG/PCG pour Midi Py;;;22/03/2016;;Oui;CA GD;SAV;GD;;;;;ETL;C 
IL4;UI Tampon SAV+ PCG/PFG TLS;0;TF7;T1;Prise de rendez-vous SAV+ PFG/PCG pour toulouse;;;22/03/2016;;Oui;CA GD;SAV;GD;;;;;ETL;C 
IL5;ui tampon pour TER E TlsN/S;0;TF7;T1;;;22/03/2016;22/03/2016;;;;;;;;;;ETL;C 
INP; INEOMP cablage immeuble neuf;0;TF7;T1;y transitent des RLG/CDS;;;22/03/2016;;?;CA BL;;BL;CABLAGE IMM NEUF;;;;ETL;R 
JAZ;Ilot Filtrage MOE JAZZ;0;TF7;T1;;;;22/03/2016;;Oui;UI Nat;;;;;;;FT;C 
LPX;PABX Lot;1;TF7;T1;Activité Pabx dpt 46;;;22/03/2016;;Oui;CACER;PROD / SAV;E;PABX;;Orange;;FT;CE
LQC;LOT QRL AQC /CA;0;TF7;T1;;;;22/03/2016;;?;;;;;;;;ETL;CE
LR7;RS/réo CAHORS;0;TF7;T1;;;;28/03/2016;;Oui;CACER;;;;;;;FT;R 
LR8;RS/miroir CAHORS;0;TF7;T1;ilot de stockage lié à LR9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
LR9;RS/exploitation CAHORS;0;TF7;T1;activité RS dpt 46;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
M02;MIGRATION DEGROUPAGE;0;TF7;T1;UI de M02;;;22/03/2016;;Oui;CA GD;;GD;;;;;FT;C 
