Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
OPR;LASSEUBE PROPRE;LAS;BUC;MED;;;;LOT BOUSCAROT;32201;;457781;1843050
OPS;OLEMPS;MAN;FOR;HD;;;;RUE PEYRIERES;12174;;617407;1926410
C2P;CAPVERN;ZDD MAI TIL;;CL;;;417;RUE DU 14 JUILLET 1789;65127;;435724;1790817
LMO;LA MONGIE;ZDD SKI HOR PLC MAN RMU TAO LMH FSD;;CL;;;;RUE PIC DES 4 THERMES MONGIE;65123;;423244;1769963
MDE;MIRANDE;ZDD BAI LAU ART PLG CNT COU;;CL;;;;RUE BERDOUES;32256;;443614;1836502
M2R;MARSAC;DDI GRA MAS;;CL;;;;LE BOURG;82104;;478218;1883504
GLX;ANGLARS ST FELIX;ANG;RIG;MED;;;;LE BOURG;12008;;590631;1935860
CST;CASTANET;DDI CUZ;;CL;;;;LOUDOS;82029;;567076;1917578
BNC;BONASCRE;ISA HPL PLA MEL NAJ MAN BAL DDI PAE;;CL;;;;BONASCRE;09032;;557227;1744144
CDC;CAPDENAC 46;DDI COU LUN POR CLA;;CL;;;;LABORIE;46055;;579121;1954539
YRA;AMBEYRAC;AMB;OER;HD;;;;LE BOURG;12007;;568825;1945493
VMQ;VILLAGE DES MARQUES;XDD;;CL;;;;RTED 091P;31396;;540788;1820850
RTM;SAINT SEVER DU MOUSTIER;SSE;BE7;HD;;;;SERRE DE LORRE;12249;;629376;1864157
SJM;ST JEAN DE MARCEL;DDI;;CL;;;;BOURG;81254;;592324;1895225
MUB;MASSEUBE;ZDD ARR ESC COU LOU MAS;;CL;;;;AV JULES DUFFORT;32242;;457532;1827636
8ML;SAINT MARTIN LAGUEPIE;SMA LAC;CR8;HD;;;;LE BOURG;81263;;571792;1903223
P7C;PICARROU;DDI;;CL;;;;PICARROU;31145;;537866;1810440
OAC;BOUSSAC CUSSAN;CUS;BAR;HD;;;;LA BARAQUE DE CUSSAN;12032;;603332;1922664
LP2;LEMPAUT;DDI;;CL;;;;BOURG;81142;;578322;1835514
RTN;MARTRES TOLOSANE;DDI CHA MAU REP RNA SAN LAS MAT;;CL;;;;RUE PAGES;31324;;492102;1800880
MBZ;MONTBAZENS;DDI VAL ROU ESP ECO FAR LUG;;CL;;;;ZA COLOMBIER;12148;;591761;1942107
CTL;CASTILLON-EN-COUSERANS;ARG ARR AUD CES ENG OUR DDI ARO ALA CAZ;;CL;;;;POSTE PLACE;09085;;493393;1769601
SZV;SEBRAZAC VERRIERES;VER;EST;MED;;;;VERRIERES;12265;;627705;1948971
RCR;RIEUCROS;RIE;PJO;MED;;;;PL STADE;09244;;553620;1786637
TRB;TARABEL;XDD XTA MAU XCG AUR;;CL;;;;LE VILLAGE;31551;;546829;1834277
RUE;RUEYRES;DDI THE;;CL;;;;LE BOURG;46243;;561246;1972043
RTO;BERTHOLENE;BER;LAI;MED;;;;AV ROUERGUE;12026;;635513;1932535
CCO;CONCOTS;DDI ESC CRE;;CL;;;;LE FOIRAIL;46073;;545153;1933398
LNG;LAUNAGUET;XDD XMI XAN LGC LGA XUP;;CL;;;;CHE PALANQUE;31282;;528968;1852825
C2R;CARAMAN;XDD XAL XAU MAY XCR XTO CAS MAS;;CL;;;62;CRS ALSACE LORRAINE;31106;;553441;1836475
LMR;LOMBERS;DDI SIE;;CL;;;;BOURG;81147;;585201;1866951
LNH;LAPENCHE;LAP;PUE;HD;;;;LE BOURG;82092;;540069;1913756
H2T;NRA ZO HERMET;HER;LAP;ZO;;;;HERMET;81144;;587323;1884643
CBZ;COMBROUZE;DDI LAR CAS;;CL;;;;COMBROUZE;12068;;597489;1923947
ORB;ORBAN;DDI;;CL;;;;BOURG;81198;;579669;1871244
VMT;VILLECOMTAL;DDI LAN SFE;;CL;;;;PL FOIRAIL;12298;;618165;1948277
CTM;CASTELMAUROU;XDD XBN XCS XRQ XRF XLA XLP CTV LMP XRP;;CL;;;;RTE ALBI;31117;;535063;1853138
C2S;CASTANET TOLOSAN;XDD XCB ORA ORB PEC PER POM REP CGR CEC CAM CZR CLA ZAS JAR BAL;;CL;;;28;AV SALETTES MANSET;31113;;532319;1834921
MTP;MONTESPAN;DDI FIG ART PAN;;CL;;;;LEOUDARY;31372;;481085;1786925
6AA;MONTSALES;MON;OER;HD;;;;LE BOURG;12158;;570108;1943370
8LY;SAINT LARY 32;LAR;JEG;HD;;;;AU VILLAGE;32384;;451741;1859559
IJO;ISLE JOURDAIN;ZDD ROB LAC FON MAR GRE POU COU TAG PON CHA STA JAR BAL MIL LAM CSA;;CL;;;45;AV CHARLES DE GAULLE;32160;;498964;1846477
ES7;ESCATALENS;SPO DDI;;CL;;;;CABASSE;82052;;507564;1888336
EAD;CAPDENAC LA MADELEINE;LAM;FIG;HD;;;;LA MADELEINE;46055;;575238;1951112
CDG;CAPDENAC-GARE 12;DDI LAM SJU VOL PAS REM VIT KLE TAI;;CL;;;;RUE JEAN JAURES;12052;;579214;1952391
C2T;NRA ZO TERSSAC;TER;JOF;ZO;;;;LUNDE;81297;;579180;1880440
UGN;BRUGNENS;BAR GOU CER ZDD;;CL;;;;VILLAGE;32066;;470297;1872366
MCS;MASCARAS;ZDD FFR ANG LES;;CL;;;2;RTE PYRENEES;65303;;423985;1801532
CTN;CASTELNAU D ESTRETEFONDS;XDD XMR XRN XHB XRT XCB XCS HBC HBP EDF TOU XRE;;CL;;;;RUE PAILLAS;31118;;520970;1864956
8MP;MONTEGUT PLANTAUREL;MON;SJV;ZO;;;;MONTEGUT VILLAGE;09202;;530569;1785490
PHD;PERCHEDE;PER;HOU;MED;;;;LE VILLAGE;32310;;400205;1866874
ORD;ORDAN LAR;ZDD LIS LAR;;CL;;;;LE BOUPAT;32301;;447464;1857993
MCT;MURET LE CHATEAU;DDI MON VIL BOU VAY;;CL;;;;ESPEYROUS;12165;;618233;1942806
ES8;ESTANG;ZDD MAP;;CL;;;;EMBARRATS;32127;;403374;1876843
UYB;POUYLEBON;POU;MSL;MED;;;;LE MOULIN DE POUYLEBON;32326;;435213;1840026
VNL;VERNIOLLE;DDI SAB;;CL;;;;PARC TECHNOLOGIQUE DELTA SUD;09332;;543794;1785803
TRE;TREBAS;POS VIL DDI TRU RET CAD FRA ALB CHA LAC;;CL;;;;LA BOUYSSIERE;81047;;610783;1882722
UJ1;LIOUJAS LA LOUBIERE;LIO;SEB;MED;;;;LIOUJAS;12131;;623420;1934017
MTQ;MONTESQUIEU LAURAGAIS;XVI XMT VIL MAT XDD;;CL;;;;RTED 11;31374;;543946;1824521
REA;REALMONT;DDI BAG GEN MET LAF ANT PEL CAR;;CL;;;;RUE DU PORCHE;81222;;587951;1863756
PYA;PYRENE AEROPOLE;ZDD ZAE JAE NIA;;CL;;;;IMM TELEPORT 1;65235;;410360;1801089
OT1;ST SANTIN BOURG;SJU;AGR;MED;;;;LE BOURG;12246;;592684;1960249
ORE;ORE;DDI SPE FRO GEN LOU;;CL;;;;LE VILLAGE;31405;;461785;1776331
MCU;MONTCUQ;DDI BOU DAU STJ LEB;;CL;;;;PENTECOTE;46201;;510666;1927111
MEA;MEAUZAC;DDI;;CL;;;;RUE DU BOSQUET;82108;;512160;1899153
ERC;ERCE;DDI PDM;;CL;;;;LE VILLAGE;09113;;514052;1761355
YRG;MAYREGNE;MAY;LUC;HD;;;;VILLAGE;31335;;452850;1761584
RDL;CARDAILLAC;CRD;FN7;HD;;;;LE FORT;46057;;572869;1964161
GMT;GRAMMONT;DDI 001 002 003 004 005 006 GUI GRA GAR;;CL;;;5;AV DIDIER DAURAT;31149;;519978;1846973
PYC;PUYCALVEL;DDI;;CL;;;;LA BROQUE;81216;;580399;1853097
GNK;ARIGNAC;ARI;TAR;MED;;;;RTE DE FOIX;09015;;539485;1763131
UGQ;ST CIRQ SOUILLAGUET;CIR;GOU;HD;;;;LE BOURG;46258;;530322;1967815
MDL;MIRANDOL;DDI LAC JOU MON CHR;;CL;;;;AV CASTEL;81168;;586219;1904636
LNL;LANUEJOULS;DDI PRI;;CL;;;;LE BOURG;12121;;585977;1936156
MTS;MONTASTRUC DE SALIES;DDI ARB FOU CAS TRU CHE ROU HER BAR;;CL;;;;COL DES PERES;31357;;482472;1781059
REC;RECOULES;LAV GAI BUZ DDI;;CL;;;;LES COUDEDIOLS;12196;;650670;1926666
YAK;BOUILLAC 12;BOU;BOI;MED;;;;LE BOURG;12030;;586148;1952607
CUG;CUGNAUX;QDD QBD QCD QED QFD QGD QHD QKD QMD QND QPD QQD QRD QSD QTD QVD QJD QLD QOD QWD QYD QVG QZD QDA Q1D Q2D QCM QDC QOR QLF;;CL;;;37;AV CUGNAUX;31588;RCU;519483;1837019
RED;LACABAREDE;DDI ROU;;CL;;;13;GRAND'RUE;81121;;620059;1829737
ORG;ORGIBET;AUC AUG GAL ILL POA STL DDI;;CL;;;;LE VILLAGE;09219;;485618;1771180
M2Z;MONTALZAT;DDI AUT BON;;CL;;;;ROUTE DE MAUREL;82119;;532878;1912024
ERE;MERENS LES VALS;MER;FOI;HD;;;;VILLAGE MERENS;09189;;558963;1739476
YRI;LISLE SUR TARN LAPEYRIERE;LAP;LIS;HD;;;;LAPEYRIERE;81145;;553455;1877636
SJU;ST JULIEN;GRA LAV SAL RIE DDI GAR MAI;;CL;;;;VILLAGE;31492;;503795;1805304
RTU;ST CHRISTAUD;CRI;CAZ;HD;;;;VILLAGE;31474;;501702;1799267
TAK;TARSAC;TAR;RIS;MED;;;;VILLAGE;32439;;402224;1854867
SLA;ST LARY;VAU ZDD RHO GPR HSO PON MIR STA THE GU1 GU2 RES HCO SOU PYR PAR SAI BEA TRA LPI LAU OND VTH CLM EGL VLE GAR HPA ARC PEV VIL ARE HPC ARD EPL SHI;;CL;;;2;CHE VIELLE AURE;65388;;434981;1759707
MTT;MONTASTRUC;XDD XGM XGA XSO XJL XSV XPA XAN GCV;;CL;;;;AV GENERAL CURIERES CASTELNAU;31358;;539703;1857847
OBA;BEAUMARCHES;BEA;PL8;MED;;;;AU VILLAGE;32036;;419700;1844656
FYC;FAYCELLES;DDI;;CL;;;;LE BOURG;46100;;571902;1951724
CDL;CAZEAUX LA;AGU GOU OOO CAT CAS DDI MOR;;CL;;;;LE VILLAGE;31133;;451293;1757590
TRI;TRIE;ZDD MON SAD FON;;CL;;;;RUE DE LA CITADELLE;65452;;440164;1815156
RUL;RULHAC;DDI MAS;;CL;;;;LE BOURG;12207;;612419;1903288
LOD;LOUDENVIELLE;ZDD GEN VAL ARA OMO CLA GTZ;;CL;;;22;CHE DU HOURGADE;65282;;442139;1757022
SJV;ST-J-VERGE;DDI CRA BAR;;CL;;;;RUE EGLISE;09264;;540636;1779313
R4I;RAVI;DDI LYS;LUC;HD;;;;RAVI;31042;;458309;1751151
MTV;MONTESQUIEU VOLVESTRE;DDI GEN PER PYR CHA GOU LAT GTV;;CL;;;;RUE SAINT VICTOR;31375;;509691;1801260
CDM;CASTILLON;DDI MED SEP;;CL;;;;LE VILLAGE;31124;;479606;1793648
MDO;MONTDOUMERC;DDI BEF STG;;CL;;;;LE BOURG;46202;;534582;1920970
TRJ;TREJOULS;DDI;;CL;;;;LESPINET;82183;;512577;1918969
BOC;BOUILLAC;DDI BEA COM;;CL;;;;VIGNOTTES;82020;;502298;1871900
C2Z;CAZALS 46;DDI MCL MRM MER;;CL;;;;LE BOURG;46066;;511820;1960951
T1G;MARESTAING;MAR;END;MED;;;;AU VILLAGE;32234;;493616;1842798
HCY;CAYROL LE;DDI VIT;;CL;;;;LE BOURG;12064;;636060;1953898
CED;CAUSSE ET DIEGE;DDI FOI;;CL;;;;GELLES;12257;;576974;1945899
TRK;ESTRAMIAC;EAC;TOC;MED;;;;VILLAGE ESTRAMIAC;32129;;480059;1871705
TAN;TANUS;DDI LED MOU PUE;;CL;;;;PL EGLISE;81292;;598554;1900113
PYG;PAYRIGNAC;DDI MAD;;CL;;;;LE BOURG;46216;;522034;1973567
SLE;ST LEONS;DDI VIL LCL GLE;;CL;;;;LE BOURG;12238;;652343;1913222
OQU;ROQUES 32;ROQ;LG6;MED;;;;AU VILLAGE;32351;;435455;1873367
MEG;MEGERE LA;DDI MET LIZ;;CL;;;;SIROGNE;82112;;504687;1903243
TSB;BELCASTEL;BEL;RIG;HD;;;;LE BOURG;12024;;599709;1931712
AGR;PORT D'AGRES;DDI BRA SJU;;CL;;;;PORT D AGRES;12240;;593128;1957177
PIA;PIAC;DDI RIM;;CL;;;;ROUSSEL;82170;;496967;1905699
PIB;PIBRAC;JDD JAD JBD JCD JED JAA JPF JCA;;CL;;;;AV BOIS DE LA BARTHE;31417;;514502;1846725
FGT;FAGET ABBATIAL;HER;LA8;MED;;;;HERECHOU;32130;;466364;1836445
KIA;CAILLAVET;CVT;RGP;MED;;;;CHAT;32071;;438058;1857144
YBG;TREMOUILLES BOURG;VIL;TRM;MED;;;;LE BOURG;12283;;624478;1916052
AGS;ANGLES;DDI CAB RAM RAV SOU MAR PEY;;CL;;;;VIECAVE;81014;;617901;1840387
TRM;TREMOUILLES;DDI CAR COM;;CL;;;;LE BASTIE;12283;;620993;1915340
CG2;COLOGNE;ZDD CRI GEO SIR TAG ARC;;CL;;;;CARNE;32106;;489882;1858937
MTZ;MONTROZIER;DDI TRE ZEN;;CL;;;;LE BOURG;12157;;632233;1933715
YSE;SEYSSES SAVES;SEY;SV8;MED;;;;MOULIN D EN HAUT;32432;;495098;1834940
REJ;REJAUMONT;CEZ ZDD;;CL;;;;AU VILLAGE;32341;;456252;1869694
UGX;ROUMENGOUX;GRA;LRD;MED;;;;GRAGNOTOS;09251;;566737;1785948
VPA;VILLEFRANCHE DE PANAT;DDI BES BRU MAY COS ARA;;CL;;;;RUE BEETHOVEN;12299;;629640;1898536
RDU;BERDOUES;BER;MDE;MED;;;;AU VILLAGE;32045;;443679;1833089
GOI;GAUDONVILLE;GAU;TOC;MED;;;;VILLAGE;32139;;479943;1877052
BNR;BANHARS;DDI;;CL;;;;BANHARS;12048;;619153;1963330
AGU;AGUESSAC;DDI COM PAU RIV CRE;;CL;;;;AV BREZEGUE;12002;;660742;1906652
UYL;PUYLAURENS ST MICHEL;MIC PEC;PYS;HD;;;;ST MICHEL;81219;;570173;1839652
TAR;TARASCON-SUR-ARIEGE;DDI AYR MOU QUI RES SUR BOM BAN FOR TOU USS PRE;;CL;;;;RTE COL DE PORT;09306;;539719;1760592
C3U;CAUTERETS;ZDD DOM MVE BAL SOU CAL LYS GAR PYR AIG MOU ROI TAH NAP GOL IBE MEL CER BEL IMP BAY PAS SLY ROY BEV PEG;;CL;;;2;RUE COMBATTANTS AFN;65138;;399328;1768255
TAS;LAFONTASSE;DDI LAC;;CL;;;;LAFONTASSE;81042;;599111;1846857
PIE;PIERREFICHE DU LARZAC;DDI LRO;;CL;;;;PIERREFICHE;12204;;671228;1901778
MFA;MONTFAUCON;DDI VIL VAI SEN GIN;;CL;;;;LES VITARELLES;46204;;538789;1965929
GOJ;GAUJAN;GAN;SRR;MED;;;;VILLAGE;32141;;469336;1823761
GNT;GINTRAC;DDI;;CL;;;;LE BOURG;46122;;554679;1988562
ET9;ESTANTENS;DDI;;CL;;;;RUE EGLISE;31395;;516703;1823835
KZA;CAZAVET;CAZ;PEB;MED;;;;VILLAGE;09091;;;
BOI;BOISSE PENCHOT;DDI LAR;;CL;;;;LE BOURG;12028;;589633;1954154
MUR;MURET;MDD MDB MDE MAD MBD MCD MED MFD MGD MHD MJD MMD MOD MRD MSD MTD MUD MKD MID MWD MQD MXD M3D MZD MDJ M1D M4D M6D MDC MDA M8D MBC M9D M5D M2D MIN MAC;;CL;;;9;RUE ST SERNIN;31395;RMU;518489;1829402
C3V;CASTELVIEILH;ZDD LOU OSM;;CL;;;2;CHE DE LA FONTAINE;65131;;425765;1811430
ESC;ESCALQUENS;XDD XPL XBE XRV VAL CSQ ECP MTC BAL MAS XCO;;CL;;;8;CHE GRAVES;31169;;536563;1834411
NLH;NOAILHAC 12;NOA;SCY;MED;;;;LE BOURG;12173;;;
PYM;PUYMAURIN;DDI RIV PUY;;CL;;;;PIERRAX;31443;;473739;1820646
T1M;ST MARTIN GIMOIS;COU;SN6;MED;;;;LE COUCUT;32392;;475440;1835789
8NR;MONTCLAR LAURAGUAIS;XMO BAU;VIL;HD;;;;LE VILLAGE;31368;;549610;1817855
OSF;MARSOLAN FONTAINE;FON;TEU;MED;;;;LA FONTAINE;32239;;455617;1882944
ILH;ILHAT;DDI LIE NEY CAF;;CL;;;;RAPPY;09142;;554098;1773334
CUQ;CUQ-TOULZA;DDI CAM MAU;;CL;;;;CADIX;81076;;563219;1840903
MEL;MIRABEL;DDI CHA;;CL;;;;CORNEBOUC;82110;;527109;1904975
AXT;AX-THERMES;DDI AND ASC DEL ORV PBO SAV GOU SOR BEL;;CL;;;;RUE CIMETIERE;09032;;559157;1746708
SN6;SARAMON;ZDD BOU COU;;CL;;;;PL FOIRAIL;32412;;472510;1836720
YRS;PEYRUSSE GRANDE;PEG;GAZ;MED;;;;LE VILLAGE;32315;;429025;1849588
SMA;ST MARTORY;DDI LES MAN LAF ARN;;CL;;;;RUE DU PONT;31503;;485416;1794208
EAR;LALANNE ARQUE;LAL;MMT;MED;LAL/R2;LAL/maul6581 CREATION NRAMED EAR EN COURS;;AU VILLAGE;32185;;462229;1815184
MEM;MEMER;DDI VAI ELB;;CL;;;;MEMER;12287;;564293;1923917
GOL;GOLINHAC;DDI;;CL;;;;LE BOURG;12110;;619632;1956081
GA1;GASSERAS;GAS;COU;ZO;;;10;RTE CASTELSARRASIN;82121;;518404;1891215
CUR;CURAN;VIL DDI BOU;;CL;;;;PUECH VALES;12307;;640338;1909179
TAU;TAURIAC;DDI MON;;CL;;;;PLACE DE LA MAIRIE;81293;;540100;1875961
REN;CARENNAC;CHA MAG DDI;;CL;;;;L HERMITTAGE;46058;;552932;1990235
LOM;LOMBEZ;ZDD LOM NOI HAL SAV RAM SEN;;CL;;;;LA TRANCHEE;32213;;485258;1832358
PYO;POMAYROLS;POM;STZ;HD;;;;LE BOURG;12184;;654744;1941327
LNX;LANNUX;ZDD SEG BER AUR PRO;;CL;;;;BERNAT;32192;;392784;1852701
8NT;CANTE;CAN;SAV;ZO;;;;LE VILLAGE;09076;;535179;1806288
SN8;SAUNIERS   ;TRA ZAR;COM;HD;;;;AV DECAZEVILLE;12202;;616773;1930116
CEL;PUYCELSI;DDI LAR VIL CAT TER;;CL;;;;PRAT BARRAT;81217;;549748;1887654
LA4;LABOUTARIE;LAB;DRA;HD;;;;BOURG;81119;;582503;1864616
8PA;CAMPAGNE SUR ARIZE;CAM;DMZ;ZO;;;;BLD MAIRIE;09075;;518539;1792167
JU4;ST JUERY 12;DDI;;CL;;;;LE BOURG;12233;;628825;1878785
GON;GONDRIN;ZDD ROC LGT;;CL;;;;RTE NATIONALE;32149;;431286;1878648
SMC;ST MARTIN DE CARALP;DDI;;CL;;;;SAINT MARTIN D EN BAS;09269;;535062;1776412
FIG;FIGEAC;DDI AIG BAT CAU CEI CHA CUR DUN JAU LIS MAQ PAS PEZ PIN POM ROQ STA TEU VIA LOU BAL MIC JAR;;CL;;;11;CHE BATAILLE;46102;;576324;1956849
JAU;JAURES;XDD JAJ JAK JAN JAP JAV JAZ XJB XJC XJD XJE XJF JFR XJG XJH XJJ XJK XJL XJM XJN JNA JNR XJO XJP JPH XJQ JQV XJR XJS XJT JUD XJW XJY XJZ JYM JSA JSB JNB JSC JKB JUN JWA JLZ JZD JAB JTZ JND JSM JMD JNC JUZ JNP;;CL;;;31;RUE ARNAUD VIDAL;31555;RJA;528525;1845430
C3Z;CAZAUBON;ZDD LAR MON FAU;;CL;;;;RUE GASCOGNE;32096;;406579;1884400
SLM;SALMIECH;DDI;;CL;;;;LE BOURG;12255;;618966;1908832
SLN;ST LAURENT;ZDD BIZ NES ANE BOI CLO AVE;;CL;;;41;RUE DES ARTIGUES;65389;;449098;1788140
REQ;REQUISTA;DDI MAI HBG GRI SJD LIN ZON;;CL;;;;PLACE DE LA POSTE;12197;;616030;1892423
KZF;CASTANET ZAC FONTANEL;XZF;RAM;MED;;;52;RUE FONTANELLES;31113;;532603;1835887
ILL;PEYRILLES;DDI LAN;;CL;;;;LE BOURG;46219;;526684;1958014
BPD;LA BASTIDE PRADINES;BAP;CAV;HD;;;;LE BOURG;12022;;657088;1889159
ZIL;BAZILLAC;BAZ;VIC;HD;;;;CAMI VIC;65073;;418217;1819676
LNZ;LANNEMEZAN;ZDD MOU DLU LAG FOI BOU GAL ARS THI CAS HOU CAM CLA HAU CAG ALS PBR REJ UGL VLG;;CL;;;;RUE VOLTAIRE;65258;;440945;1793422
CEN;CENTRES;DDI MAG;;CL;;;;LE BOURG;12065;;605785;1907078
BON;BONNEFOY;XDD BOB BOC BOD XBB BBE XBC BCA BCY XBD XBE XBG XBH XBI BID BIF XBJ XBK BKP XBL BLA BLD XBM XBN BNA XBP XBQ XBR XBT XBU XBX BXD XBY XBA XBS BTZ BOA BJB BMZ BTM BBZ BJZ XBW BXZ BYZ BHG BQC BBF BIH BAD BUA BUE BPR BXF BEE BEZ BTY BPJ BTX BKZ XBF BLT BLM BBD BJG DZG XAH BEV BJI BAT BTE;;CL;;;108;RUE PERIOLE;31555;RBO;529262;1846567
MDZ;MUR DE BARREZ;DDI BRO SAP LAB MAI TAU RUE COB;;CL;;;;RTE MALCOR;12164;;625546;1982279
AIG;AIGNAN;ZDD MAR SAB LOU AVE;;CL;;;;PL DES ARENES;32001;;418160;1857510
EAU;EAUZE;ZDD ELU BRE MOU ARE AMA ESC ZIN REP CAZ;;CL;;;1;AV FLEURS;32119;;420203;1875416
TAY;TOURNAY;ZDD MOU PEY OZO PLA BOR VIL POU CLA;;CL;;;9;RUE DU PLAGNON;65447;;429785;1800319
SLO;ST LOUP;DDI SCI;;CL;;;;RUE STE GERMAINE;82165;;481288;1899395
SME;ST MEDARD;ZDD LOU BEC MCA;;CL;;;;LE PELAT;32394;;447799;1833853
LA6;LADEVEZE;ZDD LAV ARM;;CL;;;;VILLAGE;32174;;416966;1841393
DLL;RUDELLE;RUD THE DDI;LAC;HD;;;;LE BOURG;46242;;563861;1969183
AZE;CAMMAZES LES;DDI;;CL;;;;BOURG;81055;;578944;1823127
VA8;VALENCE;ZDD BAI AMP FLI;;CL;;;;RUE POSTE;32459;;442820;1877551
LOR;LORP-SENTARAILLE;DDI MAT CAU;;CL;;;;VILLAGE;09289;;498873;1780986
GA6;GARDERES;LUQ ZDD;;CL;;;4;PL DU CHATEAU;65185;;400970;1811722
KJA;GAJAN;MDG;SGR;MED;;;;MOULIN DE GAJAN;09128;;501438;1782429
ILN;VILLEFRANCHE MED;VIL;SRR;MED;;;;LE VILLAGE;32465;;469813;1825806
OTB;ST SANTIN BRAYES;BRA;AGR;MED;;;;BRAYES;12246;;592628;1959341
CX9;COULEDOUX;DDI;;CL;;;;HAMEAU DE COULEDOUX;31085;;474706;1770323
BNZ;BOURNAZEL;DDI;;CL;;;;LE BOURG;12031;;597011;1939594
MER;MERCUES;DDI CES DOU CAL ESP ZIN COS VIT;;CL;;;;RUE DU MARCHE;46191;;524385;1944460
LR4;LARAMIERE;DDI;;CL;;;;LA COAILLE;46154;;563157;1928891
PYS;PUYLAURENS;DDI FOU JEA PIS MAI OUR ALI;;CL;;;;QUA SOL;81219;;574209;1840937
TRX;TRESPOUX;DDI BOU;;CL;;;;VILLAGE DE TRESPOUX;46322;;523147;1935227
LPI;LACAPELLE-PINET;DDI;;CL;;;;LA CAPELLE;81122;;600146;1896307
LA8;LAMAGUERE;ZDD;;CL;;;;AU VILLAGE;32186;;465196;1833469
GOR;GORSES;DDI VIL;;CL;;;;MOULIN DE LA BESSIERE;46125;;576053;1976321
GA7;GIGNAC;DDI;;CL;;;;LE BOURG;46118;;530399;2001069
ESK;ESCANDOLIERES;ESC;AUZ;HD;;;;LE BOURG;12095;;600323;1940949
BA6;BASSOUES;ZDD;;CL;;;;LE VILLAGE;32032;;431040;1844054
AZG;BAZIEGE;XDD XBL ISI;;CL;;;;CHE ROMAINS;31048;;541171;1828389
MH6;MOUCHAN;GAR ZDD X11;;CL;;;;AU VILLAGE;32292;;436419;1880141
NMG;MAGRIN;MAG PRA;PAU;HD;;;;BOURG;81151;;566597;1845548
HUZ;CAHUZAC SUR VERE;DDI GRA PIS;;CL;;;6N;LA VERGNE;81051;;565596;1886719
FYS;FRAYSSINET GOURDONNAIS;DDI CHA SUC;;CL;;;;LE BOURG;46113;;532046;1962867
DLO;ST VINCENT RIVE D OLT;COU;LUZ;HD;;;;COURNOU 7247;46296;;519680;1938550
OTD;MONTADET;MTD;ST6;MED;;;;LA PRADE HAMEAU;32276;;483729;1827249
BA7;BAGNAC;DDI LAR ESC LCA FOY;;CL;;;;FOIRAIL;46015;;585694;1962710
GR5;ST GERME;GER;MT6;MED;;;;AU VILLAGE;32378;;399625;1856270
PIN;PINSAGUEL;8DD 8GD 8HD 8PD 8UD 8FD 8JD;;CL;;;41;RTE LACROIX FALGARDE;31420;;524327;1832746
BOR;BORDES RIV;CUI SER VIL CLA TAI BOR DDI;;CL;;;;LES COURTEAUX;31076;;461098;1792654
OV1;MAUVAISIN;MAV;NAI;HD;;;;RUE MAIRIE;31332;;536152;1817256
OBR;LE BROUILH MONBERT;BRO;RGP;MED;;;;VILLAGE;32065;;443310;1853090
LPK;LUPIAC;LUP;CLV;MED;;;;PL FOIRAIL;32219;;426130;1855772
LOU;LOURDES;ZDD RES EDR ROT BEO BRT ESP GAS HAL JAC LAN BAS MAR OPH PER STA GRO PYR PEY POU SJO REP PIC BIG MIR MAB CLD BIS MCA DEV FOC LAP PAR SMO LFR BAR GAL VIG GRI;;CAA;;;31;AV MARANSIN;65286;RLO;405713;1791234
OCH;POUCHARRAMET;YGD;RIE;HD;;;;VILLAGE;31435;;505697;1824666
BOS;BOUSSENS;DDI FRE LAF ROQ ELF EST;;CL;;;3;AV CORPS FRANC POMIES;31084;;488888;1798065
C4V;CALVIGNAC;DDI LNG;;CL;;;;LE COMMUNAL;46049;;555323;1940395
BA8;BALSAC;DDI;;CL;;;;LE BOURG;12020;;609211;1933544
CUZ;CUZANCE;DDI;;CL;;;;LE BOURG;46086;;536852;1996219
REV;REVEL;XFE XGA LEV XPL XPR XRC XRI XRO XSQ VAD XDD POM REP DRE COU LAN XRV XVA;;CL;;;24;AV TOULOUSE;31451;;572829;1828743
CES;CESTAYROLS;DDI LIN;;CL;;;;BOURG;81067;;571470;1886571
LR7;LARBONT;DDI EST;;CL;;;;MOLOCAZAL;09154;;524429;1776429
P8S;PEYSALES  ;MGD PEY RIE LOU;FOI;HD;;;;RTE ESPAGNE;09122;;541673;1772498
GR7;GREALOU;DDI;;CL;;;;LE FOIRAIL;46129;;564326;1948647
LPL;LE PLAN;DDI MIC;;CL;;;;LE VILLAGE;31425;;500641;1797175
ETD;ESTADENS;DDI LAS;;CL;;;;LE PLAN;31174;;478232;1782333
FIN;FINHAN;DDI MER;;CL;;;29;RUE JEAN LACAZE;82062;;510317;1879845
CY3;CRAYSSAC;DDI;;CL;;;;CRAYSSAC;46273;;567350;1988018
YBU;CURIERES LE BOUYSSOU ;BOU;LAG;HD;;;;LE BOUYSSOU;12088;;646873;1963747
GOU;GOURDON;DDI CAV HER MAZ PRE VIG COU POU LAF PRO MPO HOP;;CL;;;;RUE MARCHE NEUF;46127;;524539;1971026
SLT;SALVETAT SAINT GILLES;DDI DHD DHA DGA SZA DGB DGD DQD DQC SXA SCH SDC;;CL;;;;AV ST GERMAINE;31526;;513705;1842267
