Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
ELX;ST ELIX;EAS;SN6;MED;EAS/R2;EAS/maul6581 CREATION NRAMED EN COURS;;VILLAGE;32374;;472957;1833555
LIV;LIVERNON;DDI GRE ASS;;CL;;;;LE BOURG;46176;;560891;1960843
END;ENDOUFIELLE;PAG VIL GUI ZDD GAO;;CL;;;;D634;32121;;494186;1841297
MAC;MARCIAC;ZDD JUS JUI RIC X21 TAG;;CL;;;47;CHE DE RONDE;32233;;424037;1838471
BL7;BLAN;DDI BAR POU VIN;;CL;;;;ROUTE DE PUYLAURENS;81032;;573426;1836307
CB7;CABANES;DDI;;CL;;;;BOURG;81044;;568141;1858789
RRA;SARRANT;SAR;SOL;MED;;;;AU VILLAGE;32416;;486326;1864052
ASU;ALBA SUD;PGE SUD;BRS;HD;;;;RUE FRERES MONTGOLFIER;82121;;519479;1887015
ACN;AUCUN;ARE ZDD GAI;;CL;;;;VILLAGE;65045;;393145;1777954
OMR;ENGOMER;ENG;CTL;MED;;;;VILLAGE;09111;;;
HPT;L HOSPITALET PRES LANDORRE;DDI PAS;;CL;;;;VILLAGE;09139;;555566;1731537
AUB;AUBIET;ZDD BLA GAR;;CL;;;;AU VILLAGE;32012;;474450;1850638
F2S;NRA ZO FREJAIROLLES;FRE;CAM;ZO;;;;BOURG;81097;;591549;1875424
ZCT;LES COSTES GOZON;COS;SAF;HD;;;;LE BOURG;12078;;637466;1890753
RQL;ROQUELAURE;RQL;PRE;MED;;;;VILLAGE;32348;;459336;1859164
SGL;ST GEORGES DE LUZENCON;DDI SGB PEY LUZ COM;;CL;;;;AV PRE DE VABRES;12225;;652042;1896334
PUE;PUYLAROQUE;DDI CAY STA;;CL;;;;AV CAUSSADE;82148;;541997;1916650
CAB;LES CABANNES;DDI ALB AST LAS REM SIN VER LAR;;CL;;;;VILLAGE;09070;;546508;1753665
MAD;MADIERE;ESC DDI ROU SVR BEZ;;CL;;;;VILLAGE DE MADIERE;09177;;535646;1789791
LZU;LUZ SAINT SAUVEUR;ZDD SOL ESQ PES EST STS SAZ NDE VIA FLO PZE;;CL;;;4;RUE POSTE;65295;;408325;1766107
LJN;LABEJAN;LAB;MRA;MED;LAB/R2;LAB/maul6581 CREATION NRAMED LJN EN COURS;;VILLAGE;32172;;451641;1839381
MRA;MIRAMONT;ZDD IDR LAM;;CL;;;;AU TROUETTE;32254;;447638;1839486
VIZ;VIC FEZENSAC;ZDD BER CAR HUG LAG MAR MDT REP POZ;;CL;;;;CHE MOULIN;32462;;436044;1863743
HRA;MILHARS;MIL;TON;HD;;;;BOURG;81165;;563377;1903048
ENG;ENGAYRESQUE;DDI;;CL;;;;ENGAYRESQUE;12270;;657374;1917152
CS6;CASTELNAU RIVIERE BASSE;ZDD CAS CHA HER;;CL;;;;COTE CASTELNAU;65130;;409138;1844304
RQM;ROQUELAURE MOULIOT;MOU;PRE;MED;;;;LE MOULIOT;32348;;457670;1859882
CB9;COLOMBIES;DDI CGA;;CL;;;;LE BOURG;12068;;600013;1926859
CAC;CAMPAGNAC;DDI;;CL;;;;LE BOURG;12047;;659626;1935416
8KA;BERGANTY;BER;TFU;ZO;;;;LA BOULE;46027;;545115;1939318
MRB;MONTRABE;XDD XCO XMO XVJ XBE XPB XMR MOZ ZAT MQT URB;;CL;;;7;RUE ANTONIN JOUGLAS;31389;;534468;1849261
NGL;ALGANS;ALG;CUQ;HD;;;;BOURG;81006;;564134;1843999
DFT;DURFORT LACAPELETTE;DDI SMA MON;;CL;;;;LE BOURG;82051;;505445;1909928
MAE;MALAUSE;DDI LEB;;CL;;;;LE BOURG;82101;;490761;1899871
AUC;AUCAMVILLE 31;XDD AOU XRU XMO XBO XPM XLT XAF XFB XFV XZF XPG XAZ XZP ACU XNX DOC OUS NXA XOF XMI XCG;;CL;;;4;IMP VIOLETTES;31022;;526638;1852038
IGL;ANGEVILLE;ANG;SNI;HD;;;;LE BOURG;82003;;494856;1889537
RRD;BOURRET;BOU BAR;MCH;HD;;;;PL DE LA POSTE;82023;;505285;1882990
MRC;MARCILHAC SUR CELE;DDI;;CL;;;;LE BOURG;46183;;555125;1950491
